crate slot channel sector leftright channel
HVECAL5 14 06 5 L 07
HVECAL5 14 07 5 L 08
HVECAL5 14 08 5 L 09
HVECAL5 14 09 5 L 10
HVECAL5 14 10 5 L 11
HVECAL5 14 11 5 L 12
HVECAL5 14 12 5 L 13
HVECAL5 14 13 5 L 14
HVECAL5 14 14 5 L 15
HVECAL5 14 15 5 L 16
HVECAL5 14 16 5 L 17
HVECAL5 14 17 5 L 18
HVECAL5 15 00 5 R 01
HVECAL5 15 01 5 R 02
HVECAL5 15 02 5 R 03
HVECAL5 15 03 5 R 04
HVECAL5 15 04 5 R 05
HVECAL5 15 05 5 R 06
HVECAL5 15 06 5 R 07
HVECAL5 15 07 5 R 08
HVECAL5 15 08 5 R 09
HVECAL5 15 09 5 R 10
HVECAL5 15 10 5 R 11
HVECAL5 15 11 5 R 12
HVECAL5 15 12 5 R 13
HVECAL5 15 13 5 R 14
HVECAL5 15 14 5 R 15
HVECAL5 15 15 5 R 16
HVECAL5 15 16 5 R 17
HVECAL5 15 17 5 R 18
HVECAL6 14 00 6 L 01
HVECAL6 14 01 6 L 02
HVECAL6 14 02 6 L 03
HVECAL6 14 03 6 L 04
HVECAL6 14 04 6 L 05
HVECAL6 14 05 6 L 06
HVECAL6 14 06 6 L 07
HVECAL6 14 07 6 L 08
HVECAL6 14 08 6 L 09
HVECAL6 14 09 6 L 10
HVECAL6 14 10 6 L 11
HVECAL6 14 11 6 L 12
HVECAL6 14 12 6 L 13
HVECAL6 14 13 6 L 14
HVECAL6 14 14 6 L 15
HVECAL6 14 15 6 L 16
HVECAL6 14 16 6 L 17
HVECAL6 14 17 6 L 18
HVECAL6 15 00 6 R 01
HVECAL6 15 01 6 R 02
HVECAL6 15 02 6 R 03
HVECAL6 15 03 6 R 04
HVECAL6 15 04 6 R 05
HVECAL6 15 05 6 R 06
HVECAL6 15 06 6 R 07
HVECAL6 15 07 6 R 08
HVECAL6 15 08 6 R 09
HVECAL6 15 09 6 R 10
HVECAL6 15 10 6 R 11
HVECAL6 15 11 6 R 12
HVECAL6 15 12 6 R 13
HVECAL6 15 13 6 R 14
HVECAL6 15 14 6 R 15
HVECAL6 15 15 6 R 16
HVECAL6 15 16 6 R 17
HVECAL6 15 17 6 R 18
