crate slot channel sector leftright channel
ADCECAL1 20 13 1 R 16
ADCECAL1 20 14 1 R 17
ADCECAL1 20 15 1 R 18
TDCECAL2 18 12 2 L 01
TDCECAL2 18 13 2 L 02
TDCECAL2 18 14 2 L 03
TDCECAL2 18 15 2 L 04
TDCECAL2 19 00 2 L 05
TDCECAL2 19 01 2 L 06
TDCECAL2 19 02 2 L 07
TDCECAL2 19 03 2 L 08
TDCECAL2 19 04 2 L 09
TDCECAL2 19 05 2 L 10
TDCECAL2 19 06 2 L 11
TDCECAL2 19 07 2 L 12
TDCECAL2 19 08 2 L 13
TDCECAL2 19 09 2 L 14
TDCECAL2 19 10 2 L 15
TDCECAL2 19 11 2 L 16
TDCECAL2 19 12 2 L 17
TDCECAL2 19 13 2 L 18
TDCECAL2 19 14 2 R 01
TDCECAL2 19 15 2 R 02
TDCECAL2 20 00 2 R 03
TDCECAL2 20 01 2 R 04
TDCECAL2 20 02 2 R 05
TDCECAL2 20 03 2 R 06
TDCECAL2 20 04 2 R 07
TDCECAL2 20 05 2 R 08
TDCECAL2 20 06 2 R 09
TDCECAL2 20 07 2 R 10
TDCECAL2 20 08 2 R 11
TDCECAL2 20 09 2 R 12
TDCECAL2 20 10 2 R 13
TDCECAL2 20 11 2 R 14
TDCECAL2 20 12 2 R 15
TDCECAL2 20 13 2 R 16
TDCECAL2 20 14 2 R 17
TDCECAL2 20 15 2 R 18
ADCECAL2 18 12 2 L 01
ADCECAL2 18 13 2 L 02
ADCECAL2 18 14 2 L 03
ADCECAL2 18 15 2 L 04
ADCECAL2 19 00 2 L 05
ADCECAL2 19 01 2 L 06
ADCECAL2 19 02 2 L 07
ADCECAL2 19 03 2 L 08
ADCECAL2 19 04 2 L 09
ADCECAL2 19 05 2 L 10
ADCECAL2 19 06 2 L 11
ADCECAL2 19 07 2 L 12
ADCECAL2 19 08 2 L 13
ADCECAL2 19 09 2 L 14
ADCECAL2 19 10 2 L 15
ADCECAL2 19 11 2 L 16
ADCECAL2 19 12 2 L 17
ADCECAL2 19 13 2 L 18
ADCECAL2 19 14 2 R 01
ADCECAL2 19 15 2 R 02
ADCECAL2 20 00 2 R 03
ADCECAL2 20 01 2 R 04
ADCECAL2 20 02 2 R 05
ADCECAL2 20 03 2 R 06
ADCECAL2 20 04 2 R 07
ADCECAL2 20 05 2 R 08
ADCECAL2 20 06 2 R 09
ADCECAL2 20 07 2 R 10
ADCECAL2 20 08 2 R 11
ADCECAL2 20 09 2 R 12
ADCECAL2 20 10 2 R 13
ADCECAL2 20 11 2 R 14
ADCECAL2 20 12 2 R 15
ADCECAL2 20 13 2 R 16
ADCECAL2 20 14 2 R 17
ADCECAL2 20 15 2 R 18
TDCECAL3 18 12 3 L 01
TDCECAL3 18 13 3 L 02
TDCECAL3 18 14 3 L 03
TDCECAL3 18 15 3 L 04
TDCECAL3 19 00 3 L 05
TDCECAL3 19 01 3 L 06
TDCECAL3 19 02 3 L 07
TDCECAL3 19 03 3 L 08
TDCECAL3 19 04 3 L 09
TDCECAL3 19 05 3 L 10
TDCECAL3 19 06 3 L 11
TDCECAL3 19 07 3 L 12
TDCECAL3 19 08 3 L 13
TDCECAL3 19 09 3 L 14
TDCECAL3 19 10 3 L 15
TDCECAL3 19 11 3 L 16
TDCECAL3 19 12 3 L 17
TDCECAL3 19 13 3 L 18
TDCECAL3 19 14 3 R 01
TDCECAL3 19 15 3 R 02
TDCECAL3 20 00 3 R 03
TDCECAL3 20 01 3 R 04
TDCECAL3 20 02 3 R 05
TDCECAL3 20 03 3 R 06
TDCECAL3 20 04 3 R 07
TDCECAL3 20 05 3 R 08
TDCECAL3 20 06 3 R 09
TDCECAL3 20 07 3 R 10
TDCECAL3 20 08 3 R 11
TDCECAL3 20 09 3 R 12
TDCECAL3 20 10 3 R 13
TDCECAL3 20 11 3 R 14
TDCECAL3 20 12 3 R 15
TDCECAL3 20 13 3 R 16
TDCECAL3 20 14 3 R 17
TDCECAL3 20 15 3 R 18
ADCECAL3 18 12 3 L 01
ADCECAL3 18 13 3 L 02
ADCECAL3 18 14 3 L 03
ADCECAL3 18 15 3 L 04
ADCECAL3 19 00 3 L 05
ADCECAL3 19 01 3 L 06
ADCECAL3 19 02 3 L 07
ADCECAL3 19 03 3 L 08
ADCECAL3 19 04 3 L 09
ADCECAL3 19 05 3 L 10
ADCECAL3 19 06 3 L 11
ADCECAL3 19 07 3 L 12
ADCECAL3 19 08 3 L 13
ADCECAL3 19 09 3 L 14
ADCECAL3 19 10 3 L 15
ADCECAL3 19 11 3 L 16
ADCECAL3 19 12 3 L 17
ADCECAL3 19 13 3 L 18
ADCECAL3 19 14 3 R 01
ADCECAL3 19 15 3 R 02
ADCECAL3 20 00 3 R 03
ADCECAL3 20 01 3 R 04
ADCECAL3 20 02 3 R 05
ADCECAL3 20 03 3 R 06
ADCECAL3 20 04 3 R 07
ADCECAL3 20 05 3 R 08
ADCECAL3 20 06 3 R 09
ADCECAL3 20 07 3 R 10
ADCECAL3 20 08 3 R 11
ADCECAL3 20 09 3 R 12
ADCECAL3 20 10 3 R 13
ADCECAL3 20 11 3 R 14
ADCECAL3 20 12 3 R 15
ADCECAL3 20 13 3 R 16
ADCECAL3 20 14 3 R 17
ADCECAL3 20 15 3 R 18
TDCECAL4 18 12 4 L 01
TDCECAL4 18 13 4 L 02
TDCECAL4 18 14 4 L 03
TDCECAL4 18 15 4 L 04
TDCECAL4 19 00 4 L 05
TDCECAL4 19 01 4 L 06
TDCECAL4 19 02 4 L 07
TDCECAL4 19 03 4 L 08
TDCECAL4 19 04 4 L 09
TDCECAL4 19 05 4 L 10
TDCECAL4 19 06 4 L 11
TDCECAL4 19 07 4 L 12
TDCECAL4 19 08 4 L 13
TDCECAL4 19 09 4 L 14
TDCECAL4 19 10 4 L 15
TDCECAL4 19 11 4 L 16
TDCECAL4 19 12 4 L 17
TDCECAL4 19 13 4 L 18
TDCECAL4 19 14 4 R 01
TDCECAL4 19 15 4 R 02
TDCECAL4 20 00 4 R 03
TDCECAL4 20 01 4 R 04
TDCECAL4 20 02 4 R 05
TDCECAL4 20 03 4 R 06
TDCECAL4 20 04 4 R 07
TDCECAL4 20 05 4 R 08
TDCECAL4 20 06 4 R 09
TDCECAL4 20 07 4 R 10
TDCECAL4 20 08 4 R 11
TDCECAL4 20 09 4 R 12
TDCECAL4 20 10 4 R 13
TDCECAL4 20 11 4 R 14
TDCECAL4 20 12 4 R 15
TDCECAL4 20 13 4 R 16
TDCECAL4 20 14 4 R 17
TDCECAL4 20 15 4 R 18
ADCECAL4 18 12 4 L 01
ADCECAL4 18 13 4 L 02
ADCECAL4 18 14 4 L 03
ADCECAL4 18 15 4 L 04
ADCECAL4 19 00 4 L 05
ADCECAL4 19 01 4 L 06
ADCECAL4 19 02 4 L 07
ADCECAL4 19 03 4 L 08
ADCECAL4 19 04 4 L 09
ADCECAL4 19 05 4 L 10
ADCECAL4 19 06 4 L 11
ADCECAL4 19 07 4 L 12
ADCECAL4 19 08 4 L 13
ADCECAL4 19 09 4 L 14
ADCECAL4 19 10 4 L 15
ADCECAL4 19 11 4 L 16
ADCECAL4 19 12 4 L 17
ADCECAL4 19 13 4 L 18
ADCECAL4 19 14 4 R 01
ADCECAL4 19 15 4 R 02
ADCECAL4 20 00 4 R 03
ADCECAL4 20 01 4 R 04
ADCECAL4 20 02 4 R 05
ADCECAL4 20 03 4 R 06
ADCECAL4 20 04 4 R 07
ADCECAL4 20 05 4 R 08
ADCECAL4 20 06 4 R 09
ADCECAL4 20 07 4 R 10
ADCECAL4 20 08 4 R 11
ADCECAL4 20 09 4 R 12
ADCECAL4 20 10 4 R 13
ADCECAL4 20 11 4 R 14
ADCECAL4 20 12 4 R 15
ADCECAL4 20 13 4 R 16
ADCECAL4 20 14 4 R 17
ADCECAL4 20 15 4 R 18
TDCECAL5 18 12 5 L 01
TDCECAL5 18 13 5 L 02
TDCECAL5 18 14 5 L 03
TDCECAL5 18 15 5 L 04
TDCECAL5 19 00 5 L 05
TDCECAL5 19 01 5 L 06
TDCECAL5 19 02 5 L 07
TDCECAL5 19 03 5 L 08
TDCECAL5 19 04 5 L 09
TDCECAL5 19 05 5 L 10
TDCECAL5 19 06 5 L 11
TDCECAL5 19 07 5 L 12
TDCECAL5 19 08 5 L 13
TDCECAL5 19 09 5 L 14
TDCECAL5 19 10 5 L 15
TDCECAL5 19 11 5 L 16
TDCECAL5 19 12 5 L 17
TDCECAL5 19 13 5 L 18
TDCECAL5 19 14 5 R 01
TDCECAL5 19 15 5 R 02
TDCECAL5 20 00 5 R 03
TDCECAL5 20 01 5 R 04
TDCECAL5 20 02 5 R 05
TDCECAL5 20 03 5 R 06
TDCECAL5 20 04 5 R 07
TDCECAL5 20 05 5 R 08
TDCECAL5 20 06 5 R 09
TDCECAL5 20 07 5 R 10
TDCECAL5 20 08 5 R 11
TDCECAL5 20 09 5 R 12
TDCECAL5 20 10 5 R 13
TDCECAL5 20 11 5 R 14
TDCECAL5 20 12 5 R 15
TDCECAL5 20 13 5 R 16
TDCECAL5 20 14 5 R 17
TDCECAL5 20 15 5 R 18
ADCECAL5 18 12 5 L 01
ADCECAL5 18 13 5 L 02
ADCECAL5 18 14 5 L 03
ADCECAL5 18 15 5 L 04
ADCECAL5 19 00 5 L 05
ADCECAL5 19 01 5 L 06
ADCECAL5 19 02 5 L 07
ADCECAL5 19 03 5 L 08
ADCECAL5 19 04 5 L 09
ADCECAL5 19 05 5 L 10
ADCECAL5 19 06 5 L 11
ADCECAL5 19 07 5 L 12
ADCECAL5 19 08 5 L 13
ADCECAL5 19 09 5 L 14
ADCECAL5 19 10 5 L 15
ADCECAL5 19 11 5 L 16
ADCECAL5 19 12 5 L 17
ADCECAL5 19 13 5 L 18
ADCECAL5 19 14 5 R 01
ADCECAL5 19 15 5 R 02
ADCECAL5 20 00 5 R 03
ADCECAL5 20 01 5 R 04
ADCECAL5 20 02 5 R 05
ADCECAL5 20 03 5 R 06
ADCECAL5 20 04 5 R 07
ADCECAL5 20 05 5 R 08
ADCECAL5 20 06 5 R 09
ADCECAL5 20 07 5 R 10
ADCECAL5 20 08 5 R 11
ADCECAL5 20 09 5 R 12
ADCECAL5 20 10 5 R 13
ADCECAL5 20 11 5 R 14
ADCECAL5 20 12 5 R 15
ADCECAL5 20 13 5 R 16
ADCECAL5 20 14 5 R 17
ADCECAL5 20 15 5 R 18
TDCECAL6 18 12 6 L 01
TDCECAL6 18 13 6 L 02
TDCECAL6 18 14 6 L 03
TDCECAL6 18 15 6 L 04
TDCECAL6 19 00 6 L 05
TDCECAL6 19 01 6 L 06
TDCECAL6 19 02 6 L 07
TDCECAL6 19 03 6 L 08
TDCECAL6 19 04 6 L 09
TDCECAL6 19 05 6 L 10
TDCECAL6 19 06 6 L 11
TDCECAL6 19 07 6 L 12
TDCECAL6 19 08 6 L 13
TDCECAL6 19 09 6 L 14
TDCECAL6 19 10 6 L 15
TDCECAL6 19 11 6 L 16
TDCECAL6 19 12 6 L 17
TDCECAL6 19 13 6 L 18
TDCECAL6 19 14 6 R 01
TDCECAL6 19 15 6 R 02
TDCECAL6 20 00 6 R 03
TDCECAL6 20 01 6 R 04
TDCECAL6 20 02 6 R 05
TDCECAL6 20 03 6 R 06
TDCECAL6 20 04 6 R 07
TDCECAL6 20 05 6 R 08
TDCECAL6 20 06 6 R 09
TDCECAL6 20 07 6 R 10
TDCECAL6 20 08 6 R 11
TDCECAL6 20 09 6 R 12
TDCECAL6 20 10 6 R 13
TDCECAL6 20 11 6 R 14
TDCECAL6 20 12 6 R 15
TDCECAL6 20 13 6 R 16
TDCECAL6 20 14 6 R 17
TDCECAL6 20 15 6 R 18
ADCECAL6 18 12 6 L 01
ADCECAL6 18 13 6 L 02
ADCECAL6 18 14 6 L 03
ADCECAL6 18 15 6 L 04
ADCECAL6 19 00 6 L 05
ADCECAL6 19 01 6 L 06
ADCECAL6 19 02 6 L 07
ADCECAL6 19 03 6 L 08
ADCECAL6 19 04 6 L 09
ADCECAL6 19 05 6 L 10
ADCECAL6 19 06 6 L 11
ADCECAL6 19 07 6 L 12
ADCECAL6 19 08 6 L 13
ADCECAL6 19 09 6 L 14
ADCECAL6 19 10 6 L 15
ADCECAL6 19 11 6 L 16
ADCECAL6 19 12 6 L 17
ADCECAL6 19 13 6 L 18
ADCECAL6 19 14 6 R 01
ADCECAL6 19 15 6 R 02
ADCECAL6 20 00 6 R 03
ADCECAL6 20 01 6 R 04
ADCECAL6 20 02 6 R 05
ADCECAL6 20 03 6 R 06
ADCECAL6 20 04 6 R 07
ADCECAL6 20 05 6 R 08
ADCECAL6 20 06 6 R 09
ADCECAL6 20 07 6 R 10
ADCECAL6 20 08 6 R 11
ADCECAL6 20 09 6 R 12
ADCECAL6 20 10 6 R 13
ADCECAL6 20 11 6 R 14
ADCECAL6 20 12 6 R 15
ADCECAL6 20 13 6 R 16
ADCECAL6 20 14 6 R 17
ADCECAL6 20 15 6 R 18
