crate slot channel sector leftright channel
TDCECAL1 18 12 1 L 01
TDCECAL1 18 13 1 L 02
TDCECAL1 18 14 1 L 03
TDCECAL1 18 15 1 L 04
TDCECAL1 19 00 1 L 05
TDCECAL1 19 01 1 L 06
TDCECAL1 19 02 1 L 07
TDCECAL1 19 03 1 L 08
TDCECAL1 19 04 1 L 09
TDCECAL1 19 05 1 L 10
TDCECAL1 19 06 1 L 11
TDCECAL1 19 07 1 L 12
TDCECAL1 19 08 1 L 13
TDCECAL1 19 09 1 L 14
TDCECAL1 19 10 1 L 15
TDCECAL1 19 11 1 L 16
TDCECAL1 19 12 1 L 17
TDCECAL1 19 13 1 L 18
TDCECAL1 19 14 1 R 01
TDCECAL1 19 15 1 R 02
TDCECAL1 20 00 1 R 03
TDCECAL1 20 01 1 R 04
TDCECAL1 20 02 1 R 05
TDCECAL1 20 03 1 R 06
TDCECAL1 20 04 1 R 07
TDCECAL1 20 05 1 R 08
TDCECAL1 20 06 1 R 09
TDCECAL1 20 07 1 R 10
TDCECAL1 20 08 1 R 11
TDCECAL1 20 09 1 R 12
TDCECAL1 20 10 1 R 13
TDCECAL1 20 11 1 R 14
TDCECAL1 20 12 1 R 15
TDCECAL1 20 13 1 R 16
TDCECAL1 20 14 1 R 17
TDCECAL1 20 15 1 R 18
ADCECAL1 18 12 1 L 01
ADCECAL1 18 13 1 L 02
ADCECAL1 18 14 1 L 03
ADCECAL1 18 15 1 L 04
ADCECAL1 19 00 1 L 05
ADCECAL1 19 01 1 L 06
ADCECAL1 19 02 1 L 07
ADCECAL1 19 03 1 L 08
ADCECAL1 19 04 1 L 09
ADCECAL1 19 05 1 L 10
ADCECAL1 19 06 1 L 11
ADCECAL1 19 07 1 L 12
ADCECAL1 19 08 1 L 13
ADCECAL1 19 09 1 L 14
ADCECAL1 19 10 1 L 15
ADCECAL1 19 11 1 L 16
ADCECAL1 19 12 1 L 17
ADCECAL1 19 13 1 L 18
ADCECAL1 19 14 1 R 01
ADCECAL1 19 15 1 R 02
ADCECAL1 20 00 1 R 03
ADCECAL1 20 01 1 R 04
ADCECAL1 20 02 1 R 05
ADCECAL1 20 03 1 R 06
ADCECAL1 20 04 1 R 07
ADCECAL1 20 05 1 R 08
ADCECAL1 20 06 1 R 09
ADCECAL1 20 07 1 R 10
ADCECAL1 20 08 1 R 11
ADCECAL1 20 09 1 R 12
ADCECAL1 20 10 1 R 13
ADCECAL1 20 11 1 R 14
ADCECAL1 20 12 1 R 15
